委托时间,成交时间,交易方向,成交价格,成交金额,成交额(股票数),手续费,现金余额,持仓股票数量
1724199000000,1724251800000,卖出,59183.67346938775,157.82312925170066,0.0026666666666666666,0.1183673469387755,5157.704761904762,0.13066666666666663
1724251800000,1724304600000,卖出,60204.08163265306,160.54421768707482,0.0026666666666666666,0.12040816326530612,5318.128571428571,0.12799999999999995
1724410200000,1724463000000,卖出,61224.489795918365,163.26530612244898,0.0026666666666666666,0.12244897959183673,5481.271428571428,0.12533333333333327
1724410200000,1724463000000,卖出,62244.897959183676,165.98639455782313,0.0026666666666666666,0.12448979591836735,5647.133333333333,0.1226666666666666
1724410200000,1724463000000,卖出,63265.30612244898,168.70748299319726,0.0026666666666666666,0.12653061224489795,5815.714285714285,0.11999999999999994
1724568600000,1724621400000,卖出,64285.71428571429,171.42857142857144,0.0026666666666666666,0.1285714285714286,5987.0142857142855,0.11733333333333328
1724621400000,1724674200000,买入,64285.71428571429,171.42857142857144,0.0026666666666666666,0.1285714285714286,5815.457142857143,0.11999999999999994
1724674200000,1724727000000,买入,63265.30612244898,168.70748299319726,0.0026666666666666666,0.12653061224489795,5646.6231292517,0.1226666666666666
1724727000000,1724779800000,买入,62244.897959183676,165.98639455782313,0.0026666666666666666,0.12448979591836735,5480.512244897959,0.12533333333333327
1724779800000,1724832600000,买入,59183.67346938775,157.82312925170066,0.0026666666666666666,0.1183673469387755,5322.570748299319,0.12799999999999995
1724779800000,1724832600000,买入,60204.08163265306,160.54421768707482,0.0026666666666666666,0.12040816326530612,5161.90612244898,0.13066666666666663
1724779800000,1724832600000,买入,61224.489795918365,163.26530612244898,0.0026666666666666666,0.12244897959183673,4998.518367346939,0.1333333333333333
1724885400000,1724938200000,卖出,59183.67346938775,157.82312925170066,0.0026666666666666666,0.1183673469387755,5156.223129251701,0.13066666666666663
1724885400000,1724938200000,卖出,60204.08163265306,160.54421768707482,0.0026666666666666666,0.12040816326530612,5316.6469387755105,0.12799999999999995
